proxy	time	saved	missed	error
91.241.40.210:41258	2018-08-24 13:45:41.571343	1	0	0
78.188.91.98:21231	2018-08-24 13:45:59.563747	1	0	0
94.101.140.10:21231	2018-08-24 13:46:06.810441	1	0	0
103.88.142.54:21231	2018-08-24 13:46:23.965379	1	0	0
182.55.250.98:80	2018-08-24 14:02:00.706300	1	0	1
183.90.70.134:80	2018-08-24 14:05:15.806284	1	0	1
93.91.196.30:8080	2018-08-24 14:06:09.230464	1	0	0
197.255.216.26:8080	2018-08-24 14:06:16.410110	1	0	0
92.242.255.85:21213	2018-08-24 14:15:03.655873	1	0	0
200.124.59.116:53281	2018-08-24 14:15:32.912302	1	0	0
78.108.108.192:21231	2018-08-24 14:15:39.352984	1	0	0
95.67.174.94:8080	2018-08-24 14:15:48.728051	1	0	0
105.22.72.110:8080	2018-08-24 14:16:00.493514	1	0	0
172.92.73.61:53281	2018-08-24 14:16:05.619614	1	0	0
37.247.28.21:21231	2018-08-24 14:16:21.013980	1	0	0
78.156.225.170:41258	2018-08-24 14:16:59.064469	1	0	1
83.144.67.2:21231	2018-08-24 14:17:09.930736	1	0	0
176.99.114.47:6666	2018-08-24 14:17:18.213660	1	0	0
140.227.54.68:3129	2018-08-24 14:18:55.118801	1	0	0
167.99.166.163:8080	2018-08-24 14:18:57.912010	1	0	0
185.133.225.210:21231	2018-08-24 14:19:08.588221	1	0	0
140.227.53.72:3129	2018-08-24 14:19:21.834250	1	0	0
201.16.148.169:8080	2018-08-24 14:19:27.465826	1	0	0
05.197.183.222:8080	2018-08-24 14:19:34.541322	1	0	0
185.133.226.154:21231	2018-08-24 14:19:46.587384	1	0	0
103.80.240.126:8080	2018-08-24 14:19:59.489917	1	0	0
93.179.66.57:8080	2018-08-24 14:20:01.536332	1	0	1
91.241.40.210:41258	2018-08-24 14:20:07.881375	1	0	0
78.188.91.98:21231	2018-08-24 14:20:22.224905	1	0	0
94.101.140.10:21231	2018-08-24 14:20:35.948198	1	0	0
103.88.142.54:21231	2018-08-24 14:20:50.793567	1	0	0
182.55.250.98:80	2018-08-24 14:24:18.270597	1	0	1
183.90.70.134:80	2018-08-24 14:27:36.457561	1	0	1
93.91.196.30:8080	2018-08-24 14:27:52.602269	1	0	0
197.255.216.26:8080	2018-08-24 14:28:59.354219	1	0	1
92.242.255.85:21213	2018-08-24 14:29:07.138965	1	0	0
200.124.59.116:53281	2018-08-24 14:29:51.123059	1	0	0
78.108.108.192:21231	2018-08-24 14:30:01.162916	1	0	0
95.67.174.94:8080	2018-08-24 14:30:10.695921	1	0	0
105.22.72.110:8080	2018-08-24 14:30:32.779929	1	0	0
172.92.73.61:53281	2018-08-24 14:30:44.893428	1	0	0
37.247.28.21:21231	2018-08-24 14:31:51.795419	1	0	1
78.156.225.170:41258	2018-08-24 14:32:01.466178	1	0	0
83.144.67.2:21231	2018-08-24 14:32:08.564305	1	0	0
176.99.114.47:6666	2018-08-24 14:32:27.328962	1	0	0
140.227.54.68:3129	2018-08-24 14:32:30.770753	1	0	0
167.99.166.163:8080	2018-08-24 14:32:33.622538	1	0	0
185.133.225.210:21231	2018-08-24 14:32:58.148878	1	0	0
140.227.53.72:3129	2018-08-24 14:33:07.149636	1	0	0
201.16.148.169:8080	2018-08-24 14:33:11.979854	1	0	0
05.197.183.222:8080	2018-08-24 14:33:18.959991	1	0	0
185.133.226.154:21231	2018-08-24 14:34:33.869290	1	0	0
103.80.240.126:8080	2018-08-24 14:36:50.359329	1	0	0
93.179.66.57:8080	2018-08-24 14:37:02.605980	1	0	0
91.241.40.210:41258	2018-08-24 14:37:06.971580	1	0	0
78.188.91.98:21231	2018-08-24 14:37:13.535173	1	0	0
94.101.140.10:21231	2018-08-24 14:37:20.652161	1	0	0
103.88.142.54:21231	2018-08-24 14:37:29.203378	1	0	0
182.55.250.98:80	2018-08-24 14:40:44.378316	1	0	1
183.90.70.134:80	2018-08-24 14:44:12.726764	1	0	1
93.91.196.30:8080	2018-08-24 14:44:21.491317	1	0	0
197.255.216.26:8080	2018-08-24 14:45:27.826401	1	0	1
92.242.255.85:21213	2018-08-24 14:45:37.557937	1	0	0
200.124.59.116:53281	2018-08-24 14:46:08.640439	1	0	0
78.108.108.192:21231	2018-08-24 14:46:17.529093	1	0	0
95.67.174.94:8080	2018-08-24 14:46:33.049377	1	0	0
105.22.72.110:8080	2018-08-24 14:47:08.281745	1	0	0
172.92.73.61:53281	2018-08-24 14:48:14.939499	1	0	1
37.247.28.21:21231	2018-08-24 14:48:27.686828	1	0	0
78.156.225.170:41258	2018-08-24 14:48:42.189263	1	0	0
83.144.67.2:21231	2018-08-24 14:48:53.555599	1	0	0
176.99.114.47:6666	2018-08-24 14:49:16.488100	1	0	0
140.227.54.68:3129	2018-08-24 14:49:23.703882	1	0	0
167.99.166.163:8080	2018-08-24 14:49:25.962679	1	0	0
185.133.225.210:21231	2018-08-24 14:49:48.072800	1	0	0
140.227.53.72:3129	2018-08-24 14:50:00.248420	1	0	0
201.16.148.169:8080	2018-08-24 14:50:05.390075	1	0	0
05.197.183.222:8080	2018-08-24 14:50:11.703090	1	0	0
185.133.226.154:21231	2018-08-24 14:50:33.417625	1	0	0
103.80.240.126:8080	2018-08-24 14:50:57.070962	1	0	0
93.179.66.57:8080	2018-08-24 14:51:15.616026	1	0	0
91.241.40.210:41258	2018-08-24 14:51:21.258998	1	0	0
78.188.91.98:21231	2018-08-24 14:52:27.967592	1	0	1
94.101.140.10:21231	2018-08-24 14:52:34.216412	1	0	0
103.88.142.54:21231	2018-08-24 14:52:43.996813	1	0	0
182.55.250.98:80	2018-08-24 14:56:17.959760	1	0	1
183.90.70.134:80	2018-08-24 14:57:24.526141	1	0	1
